_date_,a_gdp_stand_cycle,busi_stand_cycle,excrate_stand_cycle,gir_stand_cycle,natgovrev_stand_cycle,stockprice_stand_cycle,ukb_stand_cycle
2002-01-01,0.673975021,1.258637211,-1.341243502,0.757078178,0.493343205,1.031499426,0.246793147
2002-04-01,0.446234604,1.11697693,-1.626888568,0.69516388,0.358227602,0.564873636,0.18657972
2002-07-01,0.22676034,0.167909511,-1.389894338,0.433636452,0.251353266,0.022625622,0.104476166
2002-10-01,-0.057273136,-1.014965897,-0.501137608,0.412945141,0.156975819,-0.371776805,0.288475048
2003-01-01,-0.393263018,-1.240534009,-0.058765495,0.491487997,0.034107564,-0.542320052,0.874818082
2003-04-01,-0.517887212,-0.574252952,-0.226762699,0.336477227,-0.124745655,-0.524177981,1.0854308
2003-07-01,-0.371993639,0.151186634,0.074409977,0.426339367,-0.280694077,-0.397051441,0.916038748
2003-10-01,-0.089216504,0.088961379,0.646270724,0.524994547,-0.396445071,-0.261450527,0.609132987
2004-01-01,0.246133223,-0.3174086,1.137942665,0.340078522,-0.477615294,-0.226766774,0.110306079
2004-04-01,0.387690736,0.189003178,1.277394721,0.206700612,-0.540144243,-0.22587042,-0.08494221
2004-07-01,0.269526288,0.707238931,1.230634386,-0.028661408,-0.593827305,-0.197497095,0.122218691
2004-10-01,0.040097795,0.3899562,1.3489624,-0.344427916,-0.615745926,0.070349738,0.575661309
2005-01-01,-0.178210799,0.004227401,1.183796901,-0.519316739,-0.568228319,0.248570128,0.963566171
2005-04-01,-0.295701141,-0.878916625,1.263252145,-0.380633881,-0.456408845,-0.105365471,0.853812054
2005-07-01,-0.342795446,-1.727495127,1.685806505,-0.131161157,-0.322084379,-0.253742936,0.522350023
2005-10-01,-0.37081302,-1.065371912,1.204187768,-0.161309535,-0.168345144,-0.205992223,0.072237612
2006-01-01,-0.432415625,0.056231934,0.514139806,-0.271813441,0.046391131,-0.175542982,-0.368566221
2006-04-01,-0.451168614,0.332812255,0.668121649,-0.373707976,0.29285477,-0.136362582,-0.473254081
2006-07-01,-0.230312202,0.606119443,0.440622203,-0.687189536,0.503711352,0.141273399,-0.358428968
2006-10-01,0.272698048,1.214524776,-0.15861237,-0.947991054,0.686288245,0.837481106,-0.586382173
2007-01-01,0.869596996,1.470242723,-0.44169138,-0.9882834,0.87944871,1.613321221,-1.279065374
2007-04-01,1.239768583,1.577260679,-0.842129833,-1.167551071,1.14836859,2.019943375,-1.457324151
2007-07-01,1.353699233,1.702706092,-1.512968599,-0.420209407,1.481677235,2.099633164,-1.117627316
2007-10-01,1.239961012,1.408505183,-2.641099505,-0.659010175,1.696107971,2.038538172,-0.910195387
2008-01-01,0.923847387,0.240867595,-3.083271372,-0.739635254,1.780628297,0.751999104,-0.712793864
2008-04-01,0.875557509,-1.283470701,-2.114067773,-0.562426579,1.932591784,-0.575498785,-0.438321022
2008-07-01,1.014064262,-2.413597397,-0.620734133,-0.419676505,2.180999217,-0.936491761,1.25411086
2008-10-01,0.874570466,-2.915438551,0.670868797,-0.330842412,2.460404427,-1.537398328,1.272999912
2009-01-01,0.530117246,-2.603216015,1.063499155,-0.366517553,-1.878625322,-2.182243992,1.499308439
2009-04-01,0.10010681,-1.857158813,1.194667543,-0.613859017,-1.642502062,-1.669388755,0.739873129
2009-07-01,-0.234915554,-0.895930034,1.178998439,-0.811544744,-1.50873584,-0.755148243,-0.253166485
2009-10-01,-0.17871575,0.11775522,0.77413712,-1.154103966,-1.48834157,-0.829651014,-0.416847821
2010-01-01,0.241010896,0.822593469,0.633062014,-1.426325815,-1.449662804,-1.0804099,-0.780326844
2010-04-01,0.509796587,1.187948206,0.629984333,-1.532834294,-1.368517244,-0.951726305,-1.083933779
2010-07-01,0.188830091,1.357948455,0.230429412,-1.211728161,-1.298046496,-0.249073045,-1.376053056
2010-10-01,-0.619938318,1.500918783,-0.226191261,0.041740158,-1.205348551,0.072340865,-1.79458251
2011-01-01,-1.555835726,0.818454506,-0.06698317,1.201763401,-1.096289819,-0.561128975,-1.261875152
2011-04-01,-2.282515712,-0.080637271,-0.154410789,1.917696133,-1.061827391,-0.383718807,-0.186965009
2011-07-01,-2.639724334,-0.108141517,-0.446953659,2.498002103,-1.077625924,-0.662118302,0.369076774
2011-10-01,-2.553864542,-0.06146764,-0.215071086,2.584829928,-1.018961886,-1.068662418,0.066373866
2012-01-01,-2.185196341,0.117338482,-0.019627408,2.129315023,-0.873458903,-0.221876646,-0.19449049
2012-04-01,-1.740158951,0.391100442,-0.221336853,1.633810586,-0.743778229,0.1571855,-0.044342866
2012-07-01,-1.147902063,0.414646281,-0.773398381,1.48045144,-0.553654026,-0.117463677,-0.086890926
2012-10-01,-0.479375609,0.325883651,-1.206453015,1.218369674,-0.157271863,0.364488822,-0.256243443
2013-01-01,0.011748127,0.201658958,-1.203054706,0.787297178,0.303706672,2.126162727,-0.91682966
2013-04-01,0.204015416,0.247358222,-0.651606779,0.852381783,0.675269717,2.34288916,-1.530854788
2013-07-01,0.169335632,0.253996208,-0.17896066,1.301457256,0.979166239,0.722547372,-1.647633909
2013-10-01,0.103188996,-0.164651265,0.031436933,0.962072521,1.130485257,-0.109878844,-1.32357772
2014-01-01,0.163563663,-0.255458093,0.469665498,0.284547492,1.014936883,-0.228548827,-0.504526707
2014-04-01,0.15726659,0.004137854,0.207077815,-0.243099321,0.72239339,0.387989876,-0.131524275
2014-07-01,-0.014818598,-0.174758665,-0.240258567,-0.993546564,0.501917349,0.799792901,0.272321301
2014-10-01,-0.218749964,-0.06611525,-0.03245977,-1.353764618,0.470247322,0.95768505,0.455630374
2015-01-01,-0.384138615,0.253554909,0.000698534,-1.277452713,0.501430077,1.706550933,-0.039222723
2015-04-01,-0.300339009,0.011372245,0.020502564,-1.147519815,0.490400049,1.074112524,-0.248048196
2015-07-01,0.076867483,-0.201928611,0.283691667,-1.069493266,0.402235158,-0.297843756,-0.010670196
2015-10-01,0.630222642,-0.216781826,0.632669837,-0.88820381,0.134206542,-1.30612507,0.728772802
2016-01-01,1.319191692,-0.375085117,0.782843125,-0.452073444,-0.184058542,-1.735504113,1.695858947
2016-04-01,2.082277455,-0.2440322,0.477811517,-0.080879892,-0.304909732,-0.883674372,2.564487149
2016-07-01,2.825518612,0.026780142,0.238447126,0.238157842,-0.253973378,-0.184362599,3.424797132
