,GDP,EXCRATE_AVE,STOCKPRICE_AVE,GIR_PHP_MIL_AVE
1994Q1,682284.53906,27.65100,2814.62000,171503.52067
1994Q2,694873.01386,27.19200,2873.78333,199987.71751
1994Q3,689118.38741,26.31333,2965.42667,204542.49611
1994Q4,804930.36618,24.63533,2848.50667,177629.60864
1995Q1,715107.71796,25.11067,2440.78667,173946.55587
1995Q2,724721.47291,25.84967,2668.23000,186103.75186
1995Q3,730558.55499,25.72733,2761.40333,211701.44065
1995Q4,835153.46676,26.10600,2499.02333,199650.44498
1996Q1,752186.93599,26.20367,2889.70333,222758.10920
1996Q2,772414.56689,26.18467,3154.50000,253302.20112
1996Q3,774943.47808,26.21067,3139.61000,296202.76064
1996Q4,881696.36809,26.25133,3074.90667,303025.22329
1997Q1,790341.01221,26.32967,3320.05667,308717.66892
1997Q2,819144.18543,26.37033,2755.61000,304361.04544
1997Q3,811692.86728,29.63667,2231.77000,311981.43175
1997Q4,925022.17291,35.36867,1819.75333,339127.15000
1998Q1,804895.93125,40.66967,2150.91000,370519.99503
1998Q2,812225.36243,39.32567,1984.30000,424624.31799
1998Q3,813516.53016,42.84000,1353.16667,443740.59653
1998Q4,896264.13472,40.60700,1899.72667,432456.63644
1999Q1,809235.93465,38.68133,1982.47000,477101.96404
1999Q2,837649.21808,37.98333,2446.83000,525399.43392
1999Q3,842739.79275,39.23267,2204.27667,560440.42592
1999Q4,939809.35215,40.40333,2052.81333,599752.16671
2000Q1,842436.10348,40.64767,1771.03000,616361.25585
2000Q2,874667.64125,41.88173,1537.16000,652856.89727
2000Q3,889136.51589,44.99670,1463.06000,678866.30470
2000Q4,974474.00271,49.25200,1395.72667,723341.99821
2001Q1,863258.73027,49.05367,1582.29667,710872.44750
2001Q2,900955.69761,50.75067,1397.06667,736768.70896
2001Q3,913038.99821,52.15467,1251.65333,751386.86193
2001Q4,1007086.24469,51.82933,1096.63333,776762.21131
2002Q1,890692.96447,51.25200,1390.59333,853445.85736
2002Q2,936708.90205,50.40600,1272.48000,860795.81543
2002Q3,937391.30511,51.50600,1118.64667,831038.55702
2002Q4,1053873.96143,53.23510,1038.05333,854371.01692
2003Q1,933194.07567,54.06467,1038.56333,884741.52418
2003Q2,981776.56045,52.90483,1121.54667,858773.51343
2003Q3,986863.29752,54.57683,1243.55667,891619.55286
2003Q4,1106635.03524,55.26050,1385.10333,942183.89712
2004Q1,1001202.68567,55.95978,1471.93667,909410.72184
2004Q2,1057383.61229,55.91762,1548.59000,926766.06492
2004Q3,1044249.11481,55.99468,1642.03333,905196.31192
2004Q4,1174105.72034,56.28713,1824.27333,908335.73929
2005Q1,1045576.49639,55.03340,2018.08000,894602.37274
2005Q2,1111437.63911,54.68082,1902.74667,942683.43096
2005Q3,1089847.98427,56.02790,1959.74000,1011605.40520
2005Q4,1234417.05351,54.59083,2052.00000,994998.98166
2006Q1,1101758.40534,51.87283,2154.76667,1064071.92195
2006Q2,1169900.97575,52.22280,2248.46333,1095297.74324
2006Q3,1143388.73073,51.62043,2419.91667,1103137.35428
2006Q4,1301182.75194,49.72643,2826.50000,1126858.28507
2007Q1,1171254.93513,48.56600,3170.09000,1181331.70948
2007Q2,1258384.77701,46.93083,3468.75333,1205364.93249
2007Q3,1215811.00963,45.93567,3479.79667,1369498.61379
2007Q4,1382837.21082,43.09683,3653.04000,1421729.56682
2008Q1,1217869.35168,40.95467,3126.88667,1470579.23191
2008Q2,1313024.10666,43.01633,2679.06333,1566830.25144
2008Q3,1280042.45142,45.51702,2611.61333,1673772.01206
2008Q4,1426164.59406,48.42015,1931.83667,1781331.99957
2009Q1,1229617.95130,47.76450,1894.51000,1865623.55511
2009Q2,1334449.03349,47.87433,2310.26667,1889634.78899
2009Q3,1286674.08483,48.14615,2827.77667,1993206.97872
2009Q4,1446498.74665,46.76017,3002.05000,2051277.20500
2010Q1,1333040.27982,46.01433,3052.91333,2101245.09082
2010Q2,1453390.46732,45.51777,3311.84333,2174867.18401
2010Q3,1380230.95206,45.28333,3697.75000,2302966.64055
2010Q4,1534877.48589,43.63050,4141.18000,2619578.20452
2011Q1,1394149.78373,43.79710,3901.11333,2823418.87369
2011Q2,1500320.92113,43.24552,4285.12000,2974413.30253
2011Q3,1422445.69342,42.74208,4283.94333,3177714.67094
2011Q4,1593284.95844,43.46667,4305.57333,3293206.96380
2012Q1,1480579.93273,43.04667,4895.94000,3307435.28760
2012Q2,1592299.46868,42.77593,5180.11333,3261645.48339
2012Q3,1522287.77656,41.89987,5283.31667,3387055.25763
2012Q4,1710061.33296,41.19367,5625.89667,3425922.60391
2013Q1,1592017.16210,40.70407,6603.88667,3430721.34958
2013Q2,1717511.22102,41.78223,6852.74000,3431679.43187
2013Q3,1625466.71312,43.68387,6302.03000,3634070.96069
2013Q4,1815084.07976,43.61378,6228.01000,3639744.78932
2014Q1,1681505.23528,44.87107,6298.29667,3582841.74058
2014Q2,1832193.10112,44.12757,6733.29000,3542143.91185
2014Q3,1715154.58044,43.76963,7066.26000,3517128.28898
2014Q4,1935163.70336,44.82933,7246.89333,3549530.23867
2015Q1,1765493.40961,44.42383,7786.99000,3583682.85367
2015Q2,1937608.01341,44.66933,7619.92667,3601796.83800
2015Q3,1819006.39630,46.05247,7180.93000,3701717.41537
2015Q4,2057832.56905,46.86597,7030.66500,3779455.02572
