,GDP,ERATE,SPI,GIR,BOP
1/1/1999,845449.7327,38.90318865,1960.573234,477803.4788,-628.0970615
4/1/1999,852352.0473,38.45316636,2458.989325,527683.6798,-890.8715388
7/1/1999,858062.6756,38.99783616,2238.265144,560164.1754,-262.1314835
10/1/1999,870792.6887,39.94863797,2033.578481,596615.406,-1094.139026
1/1/2000,882358.7213,40.87078639,1751.84811,617175.5908,-880.7884853
4/1/2000,889576.1303,42.34764833,1545.112898,655792.9573,-162.6447882
7/1/2000,901611.7,44.76033033,1485.756276,678576.3729,-301.3229537
10/1/2000,902804.4353,48.80507136,1382.947044,719572.871,-884.0562094
1/1/2001,907953.3239,49.2750861,1564.884142,711610.5677,-192.4954859
4/1/2001,915327.6456,51.20613348,1403.631501,740209.6754,-1081.98613
7/1/2001,926508.4059,51.91448506,1271.162288,751110.7527,-659.0766211
10/1/2001,930989.7886,51.39868224,1087.360551,772807.0853,182.3963567
1/1/2002,937621.8249,51.47156036,1375.717205,854086.1192,934.4229993
4/1/2002,949232.7782,50.85158414,1277.32458,864983.281,-512.4924718
7/1/2002,956219.3853,51.26358791,1134.724252,830624.8615,-576.8053059
10/1/2002,973028.9077,52.82341853,1029.774685,850036.714,-129.7639601
1/1/2003,980187.1517,54.28241032,1029.376401,885366.0301,-245.3460033
4/1/2003,992079.2652,53.33374654,1126.214735,863248.4838,-226.9411227
7/1/2003,1011309.383,54.32750406,1259.547883,890901.7868,562.4567734
10/1/2003,1024450.021,54.87044101,1373.054251,937350.1027,191.8456281
1/1/2004,1049155.762,56.18593698,1460.317986,910105.7887,-50.85767261
4/1/2004,1062793.75,56.32570753,1555.569174,931873.4408,234.3291944
7/1/2004,1074494.573,55.7327105,1661.869056,904095.1344,525.0464758
10/1/2004,1087187.115,55.91711487,1807.784944,903743.9546,914.9440263
1/1/2005,1097006.107,55.27416342,2004.472038,895337.5269,770.3234623
4/1/2005,1112984.989,55.06894828,1910.942142,948212.3478,37.93034317
7/1/2005,1125763.545,55.75353469,1981.046997,1009985.623,488.3961494
10/1/2005,1141957.907,54.23961877,2033.260181,989971.5587,693.1595535
1/1/2006,1155542.739,52.12309028,2144.987471,1064828.444,961.0062238
4/1/2006,1167473.708,52.59132169,2257.188522,1102206.437,2119.179783
7/1/2006,1185114.381,51.34165846,2442.164561,1101085.726,1353.639832
10/1/2006,1205354.459,49.39422551,2800.276921,1121014.418,2528.021379
1/1/2007,1229984.49,48.81759019,3163.702856,1182084.43,2100.097701
4/1/2007,1249685.84,47.2815241,3479.563267,1213592.496,1908.320804
7/1/2007,1259990.997,45.65742238,3503.637103,1366725.469,1971.552193
10/1/2007,1283216.728,42.77923277,3618.519828,1413955.745,2092.058092
1/1/2008,1281864.802,41.20479476,3129.419943,1471342.47,920.1093833
4/1/2008,1300399.174,43.35838726,2685.613263,1578201.223,-83.56392435
7/1/2008,1325320.139,45.24644632,2624.118718,1670385.158,-1938.979221
10/1/2008,1331900.119,48.1121539,1915.797758,1771159.744,1249.45427
1/1/2009,1288640.357,47.99761987,1900.859775,1866284.616,2857.745023
4/1/2009,1313882.95,48.20320666,2312.348123,1903963.19,2358.951195
7/1/2009,1336840.509,47.88853408,2836.788388,1989294.415,1766.430241
10/1/2009,1361305.677,46.47138093,2981.15001,2039125.743,1464.950781
1/1/2010,1393228.763,46.23082671,3064.645054,2101710.99,2073.480437
4/1/2010,1422609.497,45.83455483,3308.550971,2192023.877,1499.894376
7/1/2010,1436085.415,45.03853376,3710.529948,2298557.573,2683.600855
10/1/2010,1448078.24,43.35637779,4122.298182,2603662.921,919.9194205
1/1/2011,1453893.564,43.99624588,3912.50093,2823732.344,1231.237616
4/1/2011,1468433.034,43.55478615,4269.365438,2998474.012,1693.595825
7/1/2011,1483910.805,42.51065569,4302.769642,3171318.823,1376.725029
10/1/2011,1506127.278,43.20098845,4299.884345,3272935.059,1338.539092
1/1/2012,1537308.171,43.2311285,4904.068813,3307745.589,139.8819112
4/1/2012,1557332.273,43.08076206,5147.775235,3288680.516,2098.449061
7/1/2012,1590693.222,41.67660902,5310.429268,3379913.435,2255.003071
10/1/2012,1619533.157,40.933989,5632.624855,3404783.917,2455.996064
1/1/2013,1652155.503,40.87874334,6609.622628,3430975.175,3965.113883
4/1/2013,1674013.451,42.08922628,6797.593022,3460428.739,3133.436077
7/1/2013,1701055.708,43.46799713,6332.9548,3626262.784,1577.574679
10/1/2013,1719642.84,43.3534623,6244.543388,3617316.588,2705.180813
1/1/2014,1750941.763,45.0316931,6306.916161,3582859.376,1184.367819
4/1/2014,1778576.686,44.43850936,6675.511247,3571811.729,3305.333685
7/1/2014,1797582.597,43.56293799,7097.509047,3509762.354,3055.504183
10/1/2014,1828355.019,44.56795933,7268.708958,3527892.257,3209.79385
1/1/2015,1845626.209,44.5760029,7799.435253,3583476.452,2203.297334
4/1/2015,1877668.804,44.98495979,7551.027011,3631866.495,3079.836367
7/1/2015,1907642.861,45.8503585,7209.240587,3694062.64,1122.566941
10/1/2015,1942185.455,46.60221062,7054.393415,3756522.928,860.5700113
1/1/2016,1975470.294,47.43677638,6890.28439,3869993.336,1025.607718
4/1/2016,2012840.699,46.83467078,7385.016383,3939123.821,262.779895
7/1/2016,2046907.413,46.85637985,7819.847867,4029744.837,926.0140267
